Fund_Id,GDP_yoy,TR_10yrs
3,5.88,7.008844622
9,6.27,5.646135458
4004,3.35,4.61308
12736,4.61,4.634661355
12737,-1.79,3.26412
14808,1.81,3.664262948
33205,4.21,1.80344
35614,3.67,2.78164
46927,3.63,2.35016
56391,4.42,2.53956
11,6.25,7.085180723
16,5.66,5.26288
2243,5.67,6.443531746
7539,6.74,4.28888
33,6.46,6.030278884
3490,3.35,4.61308
9293,5.97,4.795
45,6.46,6.030278884
52,5.88,7.008844622
54,4.84,6.57392
55,6.25,6.35396
56,6.46,6.030278884
58,6.27,5.646135458
67,3.35,4.61308
12158,5.97,4.795
15667,1.81,3.664262948
24199,3.67,2.78164
49884,4.42,2.53956
75,6.27,5.646135458
76,6.46,6.030278884
8344,5.97,4.795
86,6.46,6.030278884
862,3.21,5.020685484
5392,6.59,4.27132
10743,5.97,4.795
12909,4.61,4.634661355
13197,4.61,4.634661355
16101,3.76,3.215059761
30192,3.67,2.78164
45900,4.42,2.53956
93,5.88,7.008844622
1773,6.27,5.646135458
1775,5.67,6.443531746
5580,6.74,4.28888
15765,-1.79,3.26412
128,6.25,7.085180723
130,6.27,5.646135458
131,3.21,5.020685484
136,6.25,6.35396
137,6.27,5.646135458
138,4.84,6.57392
139,6.25,6.35396
140,6.27,5.646135458
2225,3.35,4.61308
8064,6.74,4.28888
142,3.35,4.61308
143,4.84,6.57392
144,6.25,6.35396
145,6.27,5.646135458
150,3.27,7.86236
154,7.85,8.848
27915,3.76,3.215059761
53503,4.06,2.138286853
158,3.21,5.020685484
2124,6.25,6.35396
10199,4.61,4.634661355
21854,3.76,3.215059761
2125,6.25,7.085180723
163,7.74,8.49372
169,6.46,6.030278884
174,5.66,5.26288
4675,6.59,4.27132
8796,5.97,4.795
8798,6.74,4.28888
22284,3.67,2.78164
56864,4.06,2.138286853
166,7.74,8.49372
16142,3.76,3.215059761
190,4.84,6.57392
192,3.21,5.020685484
7126,6.74,4.28888
194,6.25,6.35396
195,6.46,6.030278884
5921,6.74,4.28888
7556,6.25,7.085180723
10704,4.61,4.634661355
33882,3.63,2.35016
203,6.27,5.646135458
3396,4.77,4.01388
10948,5.97,4.795
47716,3.63,2.35016
205,3.35,4.61308
7521,6.74,4.28888
13715,4.61,4.634661355
29491,3.67,2.78164
209,3.21,5.020685484
7249,6.74,4.28888
24001,3.67,2.78164
210,6.46,6.030278884
216,6.46,6.030278884
223,6.46,6.030278884
5626,6.74,4.28888
15305,1.81,3.664262948
226,6.27,5.646135458
3669,6.27,5.646135458
5530,6.59,4.27132
10809,5.97,4.795
17043,4.21,1.80344
55929,4.42,2.53956
229,5.19,5.86628
230,6.25,6.35396
4174,6.59,4.27132
236,5.19,5.86628
237,5.67,6.443531746
238,6.25,6.35396
239,5.66,5.26288
240,6.46,6.030278884
5429,6.74,4.28888
12918,4.61,4.634661355
5173,4.77,4.01388
7511,6.74,4.28888
8941,5.97,4.795
10223,4.61,4.634661355
13162,4.61,4.634661355
20390,3.67,2.78164
31252,4.21,1.80344
53185,4.06,2.138286853
251,4.84,6.57392
15225,-1.79,3.26412
255,6.27,5.646135458
272,5.19,5.86628
278,5.66,5.26288
279,6.27,5.646135458
4568,6.59,4.27132
10357,5.97,4.795
16663,3.76,3.215059761
36829,4.21,1.80344
281,6.46,6.030278884
6002,6.74,4.28888
283,6.25,6.35396
284,6.27,5.646135458
3976,6.59,4.27132
18795,3.76,3.215059761
295,3.27,7.86236
296,6.25,6.35396
297,6.27,5.646135458
302,5.66,5.26288
304,7.46,10.61979839
306,3.27,7.86236
307,4.84,6.57392
308,6.25,6.35396
309,3.21,5.020685484
8335,6.74,4.28888
21341,3.76,3.215059761
318,5.19,5.86628
319,5.67,6.443531746
320,3.35,4.61308
321,6.27,5.646135458
5495,6.74,4.28888
325,5.88,7.008844622
326,5.67,6.443531746
327,5.66,5.26288
328,6.27,5.646135458
333,6.46,6.030278884
6277,6.59,4.27132
334,6.25,6.35396
335,6.27,5.646135458
339,6.27,5.646135458
345,5.19,5.86628
346,6.25,6.35396
348,5.66,5.26288
2127,4.84,6.57392
3608,7.74,8.49372
29565,4.21,1.80344
350,6.25,6.35396
352,6.25,7.085180723
353,5.67,6.443531746
354,6.25,6.35396
356,6.46,6.030278884
5254,6.59,4.27132
11651,4.61,4.634661355
376,3.21,5.020685484
7493,6.74,4.28888
377,4.84,6.57392
382,3.35,4.61308
8063,5.97,4.795
16813,-1.79,3.26412
42518,4.21,1.80344
55356,4.42,2.53956
384,5.67,6.443531746
386,5.19,5.86628
387,6.25,6.35396
2164,7.85,8.848
388,3.21,5.020685484
5604,6.74,4.28888
402,5.67,6.443531746
403,6.27,5.646135458
8448,5.97,4.795
406,5.66,5.26288
417,3.21,5.020685484
2093,6.27,5.646135458
5199,6.59,4.27132
7811,6.74,4.28888
8675,5.97,4.795
8676,5.97,4.795
8679,5.97,4.795
10274,4.61,4.634661355
11631,4.61,4.634661355
15707,4.61,4.634661355
30101,3.63,2.35016
51127,4.42,2.53956
418,6.27,5.646135458
5947,6.59,4.27132
13168,4.61,4.634661355
420,6.74,4.28888
424,3.35,4.61308
11535,-1.79,3.26412
435,4.84,6.57392
437,6.46,6.030278884
438,4.84,6.57392
446,4.84,6.57392
447,5.66,5.26288
460,5.19,5.86628
461,5.67,6.443531746
463,3.21,5.020685484
6732,6.74,4.28888
13554,1.81,3.664262948
476,5.88,7.008844622
481,5.66,5.26288
493,4.84,6.57392
497,4.84,6.57392
498,6.25,6.35396
499,3.21,5.020685484
5637,6.74,4.28888
19089,3.67,2.78164
500,6.46,6.030278884
7666,6.74,4.28888
29317,3.67,2.78164
505,6.25,7.085180723
506,5.66,5.26288
4933,6.59,4.27132
10727,1.81,3.664262948
508,5.66,5.26288
509,5.66,5.26288
4341,4.77,4.01388
512,5.19,5.86628
513,5.67,6.443531746
514,5.66,5.26288
5081,6.59,4.27132
520,6.25,6.35396
521,5.66,5.26288
522,3.21,5.020685484
7626,6.74,4.28888
16394,3.67,2.78164
47797,4.42,2.53956
525,5.66,5.26288
526,6.27,5.646135458
6923,6.59,4.27132
17945,1.81,3.664262948
549,5.19,5.86628
550,6.25,6.35396
552,4.84,6.57392
555,6.25,7.085180723
556,6.27,5.646135458
5565,6.74,4.28888
21449,3.67,2.78164
54596,4.42,2.53956
557,6.25,6.35396
558,5.66,5.26288
559,5.67,6.443531746
560,6.25,6.35396
561,6.27,5.646135458
568,3.21,5.020685484
578,3.35,4.61308
623,6.46,6.030278884
4402,6.59,4.27132
7305,6.59,4.27132
13446,4.61,4.634661355
13447,4.61,4.634661355
22632,3.76,3.215059761
22989,3.76,3.215059761
43146,3.63,2.35016
56230,4.06,2.138286853
583,4.84,6.57392
584,6.25,6.35396
3972,6.59,4.27132
5696,6.59,4.27132
8743,5.97,4.795
10396,4.61,4.634661355
11420,4.61,4.634661355
26322,3.63,2.35016
590,6.25,7.085180723
591,5.66,5.26288
618,5.67,6.443531746
619,6.27,5.646135458
5339,6.74,4.28888
629,6.27,5.646135458
632,6.25,7.085180723
633,6.25,6.35396
634,4.77,4.01388
8799,5.97,4.795
639,6.27,5.646135458
15257,-1.79,3.26412
44342,3.63,2.35016
650,5.67,6.443531746
5607,6.59,4.27132
15631,-1.79,3.26412
654,5.66,5.26288
657,3.27,7.86236
658,6.25,6.35396
659,5.66,5.26288
660,6.46,6.030278884
677,5.88,7.008844622
680,6.46,6.030278884
694,6.25,6.35396
695,6.27,5.646135458
2139,5.19,5.86628
4022,4.77,4.01388
696,4.84,6.57392
697,6.25,6.35396
14274,3.76,3.215059761
717,3.35,4.61308
718,5.67,6.443531746
721,3.35,4.61308
1479,5.67,6.443531746
10319,5.97,4.795
745,4.84,6.57392
746,6.25,6.35396
5891,6.74,4.28888
748,6.27,5.646135458
772,6.27,5.646135458
3478,6.74,4.28888
785,5.55,7.67284
5300,11.11,12.45811245
790,6.27,5.646135458
2248,3.21,5.020685484
5435,4.77,4.01388
7880,6.74,4.28888
10482,5.97,4.795
793,6.27,5.646135458
795,6.25,6.35396
7512,6.74,4.28888
40434,3.63,2.35016
796,6.46,6.030278884
798,6.25,6.35396
799,6.27,5.646135458
5512,6.74,4.28888
16179,3.76,3.215059761
51020,4.42,2.53956
802,4.84,6.57392
803,5.66,5.26288
804,6.46,6.030278884
5385,6.59,4.27132
11015,4.61,4.634661355
29325,4.21,1.80344
57413,4.42,2.53956
807,3.21,5.020685484
10747,4.61,4.634661355
810,5.88,7.008844622
811,5.67,6.443531746
812,6.27,5.646135458
813,6.02,8.39268
814,5.88,7.008844622
816,4.77,4.01388
15699,-1.79,3.26412
38952,3.63,2.35016
824,6.25,6.35396
3347,3.35,4.61308
9727,5.97,4.795
843,4.84,6.57392
847,5.66,5.26288
5212,4.77,4.01388
24983,3.76,3.215059761
848,5.66,5.26288
849,6.02,8.39268
867,3.35,4.61308
1071,6.27,5.646135458
8279,6.74,4.28888
871,11.73,9.432943548
873,5.55,7.67284
874,5.19,5.86628
875,4.84,6.57392
911,6.27,5.646135458
912,6.25,6.35396
2068,3.35,4.61308
7606,6.74,4.28888
20206,3.76,3.215059761
37248,3.63,2.35016
885,6.25,7.085180723
886,5.66,5.26288
2306,3.35,4.61308
8490,5.97,4.795
25876,3.67,2.78164
902,5.66,5.26288
903,6.27,5.646135458
904,6.25,7.085180723
5059,6.59,4.27132
8250,5.97,4.795
916,6.27,5.646135458
917,6.25,6.35396
918,6.27,5.646135458
22824,3.67,2.78164
927,6.25,6.35396
929,6.46,6.030278884
13494,5.97,4.795
22466,3.67,2.78164
949,3.21,5.020685484
8166,5.97,4.795
22530,3.76,3.215059761
958,5.7,8.5524
959,6.25,7.085180723
960,6.27,5.646135458
4073,4.77,4.01388
8570,6.74,4.28888
14798,3.76,3.215059761
968,5.19,5.86628
969,5.67,6.443531746
970,5.66,5.26288
977,5.19,5.86628
979,6.25,6.35396
981,6.46,6.030278884
10917,5.97,4.795
990,6.27,5.646135458
991,6.46,6.030278884
6718,6.74,4.28888
10312,5.97,4.795
16511,1.81,3.664262948
36770,4.21,1.80344
992,3.21,5.020685484
11195,5.97,4.795
997,5.7,8.5524
998,5.67,6.443531746
1010,5.67,6.443531746
1015,6.46,6.030278884
5477,6.59,4.27132
35652,4.21,1.80344
1021,6.46,6.030278884
5557,6.59,4.27132
1028,5.67,6.443531746
2058,3.21,5.020685484
1036,6.27,5.646135458
1039,6.25,7.085180723
1043,5.19,5.86628
1044,4.84,6.57392
1045,6.25,6.35396
3586,6.46,6.030278884
9957,5.97,4.795
20428,-1.79,3.26412
30573,4.21,1.80344
52994,4.42,2.53956
1051,6.27,5.646135458
2071,3.35,4.61308
7882,6.74,4.28888
1053,7.85,8.848
1054,5.88,7.008844622
1055,5.67,6.443531746
1056,5.66,5.26288
1057,6.27,5.646135458
2647,11.11,12.45811245
3735,12.24,13.92136546
4563,6.59,4.27132
1068,5.66,5.26288
1075,6.27,5.646135458
1077,3.21,5.020685484
1081,5.7,8.5524
1082,5.19,5.86628
5572,6.59,4.27132
12790,1.81,3.664262948
1102,7.74,8.49372
1103,5.19,5.86628
1104,6.25,6.35396
3515,4.77,4.01388
10881,5.97,4.795
39468,4.42,2.53956
1107,6.25,6.35396
1110,3.27,7.86236
1113,5.67,6.443531746
3176,4.77,4.01388
1116,5.66,5.26288
1122,5.67,6.443531746
1124,3.35,4.61308
5156,6.59,4.27132
7230,6.74,4.28888
8930,5.97,4.795
10127,4.61,4.634661355
15533,3.67,2.78164
16471,1.81,3.664262948
27414,4.21,1.80344
37931,4.42,2.53956
53986,4.06,2.138286853
1130,3.27,7.86236
1131,5.19,5.86628
1135,5.19,5.86628
1146,6.46,6.030278884
4857,6.59,4.27132
10682,5.97,4.795
23965,3.67,2.78164
1151,5.66,5.26288
5566,6.59,4.27132
10678,4.61,4.634661355
1155,6.27,5.646135458
1159,5.88,7.008844622
1160,5.19,5.86628
1161,5.66,5.26288
1162,6.25,7.085180723
1163,6.25,6.35396
3167,3.21,5.020685484
6455,6.74,4.28888
13003,4.61,4.634661355
35334,4.21,1.80344
1170,4.84,6.57392
1171,3.21,5.020685484
1173,7.74,8.49372
1175,4.77,4.01388
10854,1.81,3.664262948
1185,5.19,5.86628
1186,6.25,6.35396
10318,4.61,4.634661355
23291,3.76,3.215059761
35670,4.21,1.80344
1190,4.84,6.57392
1191,6.25,6.35396
1192,5.66,5.26288
1193,6.27,5.646135458
1194,3.21,5.020685484
5335,6.59,4.27132
5344,6.74,4.28888
11435,1.81,3.664262948
11436,1.81,3.664262948
36125,3.63,2.35016
40651,4.42,2.53956
1203,6.46,6.030278884
5481,6.74,4.28888
21812,3.76,3.215059761
1204,3.21,5.020685484
8265,6.74,4.28888
13551,4.61,4.634661355
45890,4.42,2.53956
1205,6.27,5.646135458
2151,6.25,6.35396
5931,6.59,4.27132
23728,3.67,2.78164
1206,6.27,5.646135458
5387,6.59,4.27132
16005,-1.79,3.26412
44300,3.63,2.35016
1228,5.88,7.008844622
1229,5.67,6.443531746
1230,5.66,5.26288
1231,6.27,5.646135458
5531,6.74,4.28888
10972,4.61,4.634661355
46260,4.42,2.53956
1237,6.25,6.35396
5235,6.59,4.27132
19010,-1.79,3.26412
1240,6.25,7.085180723
1241,6.25,6.35396
1242,6.27,5.646135458
1243,3.21,5.020685484
1245,5.55,7.67284
1246,3.27,7.86236
1247,6.25,7.085180723
1249,6.27,5.646135458
14146,4.61,4.634661355
31727,4.21,1.80344
1253,6.25,7.085180723
1254,5.67,6.443531746
1256,5.55,7.67284
1257,3.27,7.86236
7614,6.74,4.28888
1265,8.68,11.103
1267,6.46,6.030278884
1268,5.88,7.008844622
1269,5.67,6.443531746
1270,5.66,5.26288
5844,6.74,4.28888
21020,3.76,3.215059761
47411,4.42,2.53956
1283,5.88,7.008844622
1284,5.67,6.443531746
1298,6.27,5.646135458
1303,6.27,5.646135458
1325,5.67,6.443531746
1326,5.66,5.26288
5268,3.21,5.020685484
1328,6.25,7.085180723
1329,6.25,6.35396
1330,6.27,5.646135458
1331,6.46,6.030278884
2133,7.85,8.848
5870,6.59,4.27132
13721,4.61,4.634661355
5765,5.55,7.67284
1339,6.27,5.646135458
33835,3.63,2.35016
1346,3.27,7.86236
1349,5.66,5.26288
1350,7.74,8.49372
1352,4.84,6.57392
1354,6.25,6.35396
1356,6.27,5.646135458
7510,6.74,4.28888
30864,3.67,2.78164
48357,4.42,2.53956
53785,4.42,2.53956
1357,6.27,5.646135458
4830,6.59,4.27132
10053,5.97,4.795
34882,4.21,1.80344
1364,5.7,8.5524
1369,6.25,6.35396
1370,6.27,5.646135458
2937,3.35,4.61308
7015,6.74,4.28888
11930,4.61,4.634661355
26535,4.21,1.80344
1386,3.27,7.86236
1389,5.66,5.26288
4924,4.77,4.01388
11434,5.97,4.795
38012,4.42,2.53956
1392,5.66,5.26288
1393,3.27,7.86236
1394,5.19,5.86628
1396,6.25,6.35396
1397,6.46,6.030278884
4500,4.77,4.01388
8057,6.74,4.28888
15537,-1.79,3.26412
1410,7.46,10.61979839
1413,5.66,5.26288
1414,6.46,6.030278884
7415,6.74,4.28888
1416,5.19,5.86628
1417,6.25,6.35396
3646,3.35,4.61308
10679,5.97,4.795
35771,4.21,1.80344
1420,6.25,6.35396
1421,6.27,5.646135458
1426,5.66,5.26288
1427,6.46,6.030278884
8190,6.74,4.28888
7953,6.74,4.28888
14366,-1.79,3.26412
37786,3.63,2.35016
1459,6.46,6.030278884
5193,6.59,4.27132
24620,3.67,2.78164
1466,5.66,5.26288
10224,5.97,4.795
19807,3.76,3.215059761
1488,7.74,8.49372
1501,6.25,7.085180723
1506,5.67,6.443531746
1507,5.66,5.26288
3499,3.35,4.61308
31187,4.21,1.80344
1514,6.27,5.646135458
1515,3.21,5.020685484
7490,6.74,4.28888
18819,3.76,3.215059761
48719,3.63,2.35016
64020,4.06,2.138286853
1516,6.27,5.646135458
8259,6.74,4.28888
14960,1.81,3.664262948
1517,6.46,6.030278884
4856,6.59,4.27132
11098,5.97,4.795
1526,8.68,11.103
1527,5.55,7.67284
1528,5.88,7.008844622
1529,5.67,6.443531746
1530,6.27,5.646135458
1531,5.67,6.443531746
1532,6.25,6.35396
1533,3.21,5.020685484
1534,6.27,5.646135458
1535,6.46,6.030278884
18322,-1.79,3.26412
38278,4.21,1.80344
59929,4.06,2.138286853
1555,5.67,6.443531746
1556,6.46,6.030278884
5346,6.59,4.27132
1558,5.66,5.26288
1560,6.27,5.646135458
1561,3.27,7.86236
4466,6.59,4.27132
8807,5.97,4.795
20678,3.67,2.78164
1566,6.25,6.35396
7288,6.74,4.28888
21440,4.21,1.80344
1571,4.84,6.57392
1572,5.66,5.26288
1583,5.66,5.26288
1584,6.27,5.646135458
1593,6.25,6.35396
28673,3.67,2.78164
1602,5.66,5.26288
1604,4.84,6.57392
1605,6.46,6.030278884
1609,6.46,6.030278884
9693,6.74,4.28888
46293,3.63,2.35016
1633,5.7,8.5524
2280,4.84,6.57392
3194,4.77,4.01388
7464,6.74,4.28888
24705,3.63,2.35016
1638,5.66,5.26288
1639,3.21,5.020685484
6370,5.97,4.795
45275,4.06,2.138286853
1641,4.84,6.57392
1645,6.27,5.646135458
1652,5.66,5.26288
1653,6.27,5.646135458
1663,3.27,7.86236
1664,4.84,6.57392
1665,6.25,6.35396
1666,5.66,5.26288
1667,6.27,5.646135458
1674,6.25,7.085180723
1677,6.27,5.646135458
1681,5.66,5.26288
3643,4.77,4.01388
7667,5.97,4.795
8812,5.97,4.795
28217,4.21,1.80344
1687,3.21,5.020685484
1716,6.25,7.085180723
1726,6.27,5.646135458
1743,6.27,5.646135458
4873,6.59,4.27132
5825,6.59,4.27132
10225,5.97,4.795
22878,3.76,3.215059761
1744,5.19,5.86628
1747,5.66,5.26288
1752,5.7,8.5524
1753,6.25,7.085180723
1754,6.25,6.35396
1755,6.46,6.030278884
5850,6.74,4.28888
23260,3.67,2.78164
1771,6.46,6.030278884
1817,5.19,5.86628
1818,5.67,6.443531746
1819,6.27,5.646135458
7083,6.74,4.28888
10777,5.97,4.795
13124,4.61,4.634661355
36616,4.42,2.53956
1781,5.67,6.443531746
1783,6.25,6.35396
1784,3.21,5.020685484
1790,5.55,7.67284
1791,7.74,8.49372
5489,6.59,4.27132
1796,5.66,5.26288
1800,5.67,6.443531746
1801,5.66,5.26288
1802,6.27,5.646135458
1803,5.19,5.86628
1804,6.25,6.35396
1805,6.27,5.646135458
1811,6.25,6.35396
1812,5.66,5.26288
1814,3.27,7.86236
1815,4.84,6.57392
5456,5.97,4.795
1827,3.21,5.020685484
6241,5.97,4.795
37375,3.63,2.35016
1828,6.25,6.35396
1829,6.46,6.030278884
7116,6.74,4.28888
12358,4.61,4.634661355
25581,3.67,2.78164
41042,4.21,1.80344
45686,3.63,2.35016
52944,4.42,2.53956
56925,4.06,2.138286853
56945,4.06,2.138286853
1832,4.84,6.57392
1833,6.25,6.35396
1835,6.27,5.646135458
5670,6.74,4.28888
32563,4.42,2.53956
1839,6.27,5.646135458
1842,6.27,5.646135458
3771,4.77,4.01388
1843,5.66,5.26288
1848,6.46,6.030278884
2285,3.21,5.020685484
7966,6.74,4.28888
14818,4.61,4.634661355
1851,6.27,5.646135458
5372,6.59,4.27132
13878,-1.79,3.26412
1855,6.27,5.646135458
6242,6.74,4.28888
15452,1.81,3.664262948
32631,4.21,1.80344
1858,6.25,7.085180723
1882,4.84,6.57392
1883,5.66,5.26288
1884,6.27,5.646135458
1885,6.46,6.030278884
1893,5.66,5.26288
1894,6.27,5.646135458
6921,6.74,4.28888
8723,6.74,4.28888
12890,4.61,4.634661355
1914,6.27,5.646135458
1919,5.66,5.26288
1920,3.21,5.020685484
1923,5.67,6.443531746
1924,5.66,5.26288
1925,5.88,7.008844622
20597,3.76,3.215059761
1933,6.02,8.39268
1935,6.25,6.35396
5165,6.59,4.27132
1958,6.27,5.646135458
1959,5.88,7.008844622
1960,6.25,7.085180723
1961,6.25,6.35396
3733,11.11,12.45811245
5449,6.59,4.27132
11359,4.61,4.634661355
43832,4.42,2.53956
1965,3.21,5.020685484
6409,6.74,4.28888
16485,3.76,3.215059761
1973,7.74,8.49372
1979,6.46,6.030278884
5500,6.59,4.27132
19686,-1.79,3.26412
1980,5.66,5.26288
5239,6.59,4.27132
22889,3.67,2.78164
1981,6.27,5.646135458
1983,6.46,6.030278884
1988,4.84,6.57392
1989,6.25,6.35396
1990,6.27,5.646135458
5529,7.74,8.49372
1993,5.55,7.67284
1995,5.66,5.26288
1996,6.27,5.646135458
5652,6.74,4.28888
12288,1.81,3.664262948
54456,4.06,2.138286853
2001,4.84,6.57392
2002,6.25,6.35396
2003,5.66,5.26288
2004,6.46,6.030278884
2006,5.67,6.443531746
2011,5.66,5.26288
2012,6.27,5.646135458
6246,6.74,4.28888
